# Unicode Characters in the Latin Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/latin_extended_a/list.htm
"U+0129", "\xc4\xa9", "LATIN SMALL LETTER I WITH TILDE (U+0129)"
"U+012A", "\xc4\xaa", "LATIN CAPITAL LETTER I WITH MACRON (U+012A)"
"U+012B", "\xc4\xab", "LATIN SMALL LETTER I WITH MACRON (U+012B)"
"U+012C", "\xc4\xac", "LATIN CAPITAL LETTER I WITH BREVE (U+012C)"
"U+012D", "\xc4\xad", "LATIN SMALL LETTER I WITH BREVE (U+012D)"
"U+012E", "\xc4\xae", "LATIN CAPITAL LETTER I WITH OGONEK (U+012E)"
"U+012F", "\xc4\xaf", "LATIN SMALL LETTER I WITH OGONEK (U+012F)"
"U+0130", "\xc4\xb0", "LATIN CAPITAL LETTER I WITH DOT ABOVE (U+0130)"
"U+0131", "\xc4\xb1", "LATIN SMALL LETTER DOTLESS I (U+0131)"
"U+0132", "\xc4\xb2", "LATIN CAPITAL LIGATURE IJ (U+0132)"
"U+0133", "\xc4\xb3", "LATIN SMALL LIGATURE IJ (U+0133)"
"U+0134", "\xc4\xb4", "LATIN CAPITAL LETTER J WITH CIRCUMFLEX (U+0134)"
"U+0135", "\xc4\xb5", "LATIN SMALL LETTER J WITH CIRCUMFLEX (U+0135)"
"U+0136", "\xc4\xb6", "LATIN CAPITAL LETTER K WITH CEDILLA (U+0136)"
"U+0137", "\xc4\xb7", "LATIN SMALL LETTER K WITH CEDILLA (U+0137)"
"U+0138", "\xc4\xb8", "LATIN SMALL LETTER KRA (U+0138)"
"U+0139", "\xc4\xb9", "LATIN CAPITAL LETTER L WITH ACUTE (U+0139)"
"U+013A", "\xc4\xba", "LATIN SMALL LETTER L WITH ACUTE (U+013A)"
"U+013B", "\xc4\xbb", "LATIN CAPITAL LETTER L WITH CEDILLA (U+013B)"
"U+013C", "\xc4\xbc", "LATIN SMALL LETTER L WITH CEDILLA (U+013C)"
"U+013D", "\xc4\xbd", "LATIN CAPITAL LETTER L WITH CARON (U+013D)"
"U+013E", "\xc4\xbe", "LATIN SMALL LETTER L WITH CARON (U+013E)"
"U+013F", "\xc4\xbf", "LATIN CAPITAL LETTER L WITH MIDDLE DOT (U+013F)"
"U+0140", "\xc5\x80", "LATIN SMALL LETTER L WITH MIDDLE DOT (U+0140)"
"U+0141", "\xc5\x81", "LATIN CAPITAL LETTER L WITH STROKE (U+0141)"
"U+0142", "\xc5\x82", "LATIN SMALL LETTER L WITH STROKE (U+0142)"
"U+0143", "\xc5\x83", "LATIN CAPITAL LETTER N WITH ACUTE (U+0143)"
"U+0144", "\xc5\x84", "LATIN SMALL LETTER N WITH ACUTE (U+0144)"
"U+0145", "\xc5\x85", "LATIN CAPITAL LETTER N WITH CEDILLA (U+0145)"
"U+0146", "\xc5\x86", "LATIN SMALL LETTER N WITH CEDILLA (U+0146)"
"U+0147", "\xc5\x87", "LATIN CAPITAL LETTER N WITH CARON (U+0147)"
"U+0148", "\xc5\x88", "LATIN SMALL LETTER N WITH CARON (U+0148)"
"U+0149", "\xc5\x89", "LATIN SMALL LETTER N PRECEDED BY APOSTROPHE (U+0149)"
"U+014A", "\xc5\x8a", "LATIN CAPITAL LETTER ENG (U+014A)"
"U+014B", "\xc5\x8b", "LATIN SMALL LETTER ENG (U+014B)"
"U+014C", "\xc5\x8c", "LATIN CAPITAL LETTER O WITH MACRON (U+014C)"
"U+014D", "\xc5\x8d", "LATIN SMALL LETTER O WITH MACRON (U+014D)"
"U+014E", "\xc5\x8e", "LATIN CAPITAL LETTER O WITH BREVE (U+014E)"
"U+014F", "\xc5\x8f", "LATIN SMALL LETTER O WITH BREVE (U+014F)"
"U+0150", "\xc5\x90", "LATIN CAPITAL LETTER O WITH DOUBLE ACUTE (U+0150)"
"U+0151", "\xc5\x91", "LATIN SMALL LETTER O WITH DOUBLE ACUTE (U+0151)"
"U+0152", "\xc5\x92", "LATIN CAPITAL LIGATURE OE (U+0152)"
"U+0153", "\xc5\x93", "LATIN SMALL LIGATURE OE (U+0153)"
"U+0154", "\xc5\x94", "LATIN CAPITAL LETTER R WITH ACUTE (U+0154)"
"U+0155", "\xc5\x95", "LATIN SMALL LETTER R WITH ACUTE (U+0155)"
"U+0156", "\xc5\x96", "LATIN CAPITAL LETTER R WITH CEDILLA (U+0156)"
"U+0157", "\xc5\x97", "LATIN SMALL LETTER R WITH CEDILLA (U+0157)"
"U+0158", "\xc5\x98", "LATIN CAPITAL LETTER R WITH CARON (U+0158)"
"U+0159", "\xc5\x99", "LATIN SMALL LETTER R WITH CARON (U+0159)"
"U+015A", "\xc5\x9a", "LATIN CAPITAL LETTER S WITH ACUTE (U+015A)"
"U+015B", "\xc5\x9b", "LATIN SMALL LETTER S WITH ACUTE (U+015B)"
"U+015C", "\xc5\x9c", "LATIN CAPITAL LETTER S WITH CIRCUMFLEX (U+015C)"
"U+015D", "\xc5\x9d", "LATIN SMALL LETTER S WITH CIRCUMFLEX (U+015D)"
"U+015E", "\xc5\x9e", "LATIN CAPITAL LETTER S WITH CEDILLA (U+015E)"
"U+015F", "\xc5\x9f", "LATIN SMALL LETTER S WITH CEDILLA (U+015F)"
"U+0160", "\xc5\xa0", "LATIN CAPITAL LETTER S WITH CARON (U+0160)"
"U+0161", "\xc5\xa1", "LATIN SMALL LETTER S WITH CARON (U+0161)"
"U+0162", "\xc5\xa2", "LATIN CAPITAL LETTER T WITH CEDILLA (U+0162)"
"U+0163", "\xc5\xa3", "LATIN SMALL LETTER T WITH CEDILLA (U+0163)"
"U+0164", "\xc5\xa4", "LATIN CAPITAL LETTER T WITH CARON (U+0164)"
"U+0165", "\xc5\xa5", "LATIN SMALL LETTER T WITH CARON (U+0165)"
"U+0166", "\xc5\xa6", "LATIN CAPITAL LETTER T WITH STROKE (U+0166)"
"U+0167", "\xc5\xa7", "LATIN SMALL LETTER T WITH STROKE (U+0167)"
"U+0168", "\xc5\xa8", "LATIN CAPITAL LETTER U WITH TILDE (U+0168)"
"U+0169", "\xc5\xa9", "LATIN SMALL LETTER U WITH TILDE (U+0169)"
"U+016A", "\xc5\xaa", "LATIN CAPITAL LETTER U WITH MACRON (U+016A)"
"U+016B", "\xc5\xab", "LATIN SMALL LETTER U WITH MACRON (U+016B)"
"U+016C", "\xc5\xac", "LATIN CAPITAL LETTER U WITH BREVE (U+016C)"
"U+016D", "\xc5\xad", "LATIN SMALL LETTER U WITH BREVE (U+016D)"
"U+016E", "\xc5\xae", "LATIN CAPITAL LETTER U WITH RING ABOVE (U+016E)"
"U+016F", "\xc5\xaf", "LATIN SMALL LETTER U WITH RING ABOVE (U+016F)"
"U+0170", "\xc5\xb0", "LATIN CAPITAL LETTER U WITH DOUBLE ACUTE (U+0170)"
"U+0171", "\xc5\xb1", "LATIN SMALL LETTER U WITH DOUBLE ACUTE (U+0171)"
"U+0172", "\xc5\xb2", "LATIN CAPITAL LETTER U WITH OGONEK (U+0172)"
"U+0173", "\xc5\xb3", "LATIN SMALL LETTER U WITH OGONEK (U+0173)"
"U+0174", "\xc5\xb4", "LATIN CAPITAL LETTER W WITH CIRCUMFLEX (U+0174)"
"U+0175", "\xc5\xb5", "LATIN SMALL LETTER W WITH CIRCUMFLEX (U+0175)"
"U+0176", "\xc5\xb6", "LATIN CAPITAL LETTER Y WITH CIRCUMFLEX (U+0176)"
"U+0177", "\xc5\xb7", "LATIN SMALL LETTER Y WITH CIRCUMFLEX (U+0177)"
"U+0178", "\xc5\xb8", "LATIN CAPITAL LETTER Y WITH DIAERESIS (U+0178)"
"U+0179", "\xc5\xb9", "LATIN CAPITAL LETTER Z WITH ACUTE (U+0179)"
"U+017A", "\xc5\xba", "LATIN SMALL LETTER Z WITH ACUTE (U+017A)"
"U+017B", "\xc5\xbb", "LATIN CAPITAL LETTER Z WITH DOT ABOVE (U+017B)"
"U+017C", "\xc5\xbc", "LATIN SMALL LETTER Z WITH DOT ABOVE (U+017C)"
"U+017D", "\xc5\xbd", "LATIN CAPITAL LETTER Z WITH CARON (U+017D)"
"U+017E", "\xc5\xbe", "LATIN SMALL LETTER Z WITH CARON (U+017E)"
"U+017F", "\xc5\xbf", "LATIN SMALL LETTER LONG S (U+017F)"
