# Ol Chiki
U+1CF2, \xe1\xb3\xb2, VEDIC SIGN ARDHAVISARGA
U+1D00, \xe1\xb4\x80, LATIN LETTER SMALL CAPITAL A
U+1D01, \xe1\xb4\x81, LATIN LETTER SMALL CAPITAL AE
U+1D02, \xe1\xb4\x82, LATIN SMALL LETTER TURNED AE
U+1D03, \xe1\xb4\x83, LATIN LETTER SMALL CAPITAL BARRED B
U+1D04, \xe1\xb4\x84, LATIN LETTER SMALL CAPITAL C
U+1D05, \xe1\xb4\x85, LATIN LETTER SMALL CAPITAL D
U+1D06, \xe1\xb4\x86, LATIN LETTER SMALL CAPITAL ETH
U+1D07, \xe1\xb4\x87, LATIN LETTER SMALL CAPITAL E
U+1D08, \xe1\xb4\x88, LATIN SMALL LETTER TURNED OPEN E
U+1D09, \xe1\xb4\x89, LATIN SMALL LETTER TURNED I
U+1D0A, \xe1\xb4\x8a, LATIN LETTER SMALL CAPITAL J
U+1D0B, \xe1\xb4\x8b, LATIN LETTER SMALL CAPITAL K
U+1D0C, \xe1\xb4\x8c, LATIN LETTER SMALL CAPITAL L WITH STROKE
U+1D0D, \xe1\xb4\x8d, LATIN LETTER SMALL CAPITAL M
U+1D0E, \xe1\xb4\x8e, LATIN LETTER SMALL CAPITAL REVERSED N
U+1D0F, \xe1\xb4\x8f, LATIN LETTER SMALL CAPITAL O
U+1D10, \xe1\xb4\x90, LATIN LETTER SMALL CAPITAL OPEN O
U+1D11, \xe1\xb4\x91, LATIN SMALL LETTER SIDEWAYS O
U+1D12, \xe1\xb4\x92, LATIN SMALL LETTER SIDEWAYS OPEN O
U+1D13, \xe1\xb4\x93, LATIN SMALL LETTER SIDEWAYS O WITH STROKE
U+1D14, \xe1\xb4\x94, LATIN SMALL LETTER TURNED OE
U+1D15, \xe1\xb4\x95, LATIN LETTER SMALL CAPITAL OU
U+1D16, \xe1\xb4\x96, LATIN SMALL LETTER TOP HALF O
U+1D17, \xe1\xb4\x97, LATIN SMALL LETTER BOTTOM HALF O
U+1D18, \xe1\xb4\x98, LATIN LETTER SMALL CAPITAL P
U+1D19, \xe1\xb4\x99, LATIN LETTER SMALL CAPITAL REVERSED R
U+1D1A, \xe1\xb4\x9a, LATIN LETTER SMALL CAPITAL TURNED R
U+1D1B, \xe1\xb4\x9b, LATIN LETTER SMALL CAPITAL T
U+1D1C, \xe1\xb4\x9c, LATIN LETTER SMALL CAPITAL U
U+1D1D, \xe1\xb4\x9d, LATIN SMALL LETTER SIDEWAYS U
U+1D1E, \xe1\xb4\x9e, LATIN SMALL LETTER SIDEWAYS DIAERESIZED U
U+1D1F, \xe1\xb4\x9f, LATIN SMALL LETTER SIDEWAYS TURNED M
U+1D20, \xe1\xb4\xa0, LATIN LETTER SMALL CAPITAL V
U+1D21, \xe1\xb4\xa1, LATIN LETTER SMALL CAPITAL W
U+1D22, \xe1\xb4\xa2, LATIN LETTER SMALL CAPITAL Z
U+1D23, \xe1\xb4\xa3, LATIN LETTER SMALL CAPITAL EZH
U+1D24, \xe1\xb4\xa4, LATIN LETTER VOICED LARYNGEAL SPIRANT
U+1D25, \xe1\xb4\xa5, LATIN LETTER AIN
U+1D26, \xe1\xb4\xa6, GREEK LETTER SMALL CAPITAL GAMMA
U+1D27, \xe1\xb4\xa7, GREEK LETTER SMALL CAPITAL LAMDA
U+1D28, \xe1\xb4\xa8, GREEK LETTER SMALL CAPITAL PI
U+1D29, \xe1\xb4\xa9, GREEK LETTER SMALL CAPITAL RHO
U+1D2A, \xe1\xb4\xaa, GREEK LETTER SMALL CAPITAL PSI
U+1D2B, \xe1\xb4\xab, CYRILLIC LETTER SMALL CAPITAL EL
U+1D2C, \xe1\xb4\xac, MODIFIER LETTER CAPITAL A
U+1D2D, \xe1\xb4\xad, MODIFIER LETTER CAPITAL AE
U+1D2E, \xe1\xb4\xae, MODIFIER LETTER CAPITAL B
U+1D2F, \xe1\xb4\xaf, MODIFIER LETTER CAPITAL BARRED B
U+1D30, \xe1\xb4\xb0, MODIFIER LETTER CAPITAL D
U+1D31, \xe1\xb4\xb1, MODIFIER LETTER CAPITAL E
U+1D32, \xe1\xb4\xb2, MODIFIER LETTER CAPITAL REVERSED E
U+1D33, \xe1\xb4\xb3, MODIFIER LETTER CAPITAL G
U+1D34, \xe1\xb4\xb4, MODIFIER LETTER CAPITAL H
U+1D35, \xe1\xb4\xb5, MODIFIER LETTER CAPITAL I
U+1D36, \xe1\xb4\xb6, MODIFIER LETTER CAPITAL J
