# General Punctuation
U+20B2, \xe2\x82\xb2, GUARANI SIGN
U+20B3, \xe2\x82\xb3, AUSTRAL SIGN
U+20B4, \xe2\x82\xb4, HRYVNIA SIGN
U+20B5, \xe2\x82\xb5, CEDI SIGN
U+20B6, \xe2\x82\xb6, LIVRE TOURNOIS SIGN
U+20B7, \xe2\x82\xb7, SPESMILO SIGN
U+20B8, \xe2\x82\xb8, TENGE SIGN
U+20B9, \xe2\x82\xb9, INDIAN RUPEE SIGN
U+20D0, \xe2\x83\x90, COMBINING LEFT HARPOON ABOVE
U+20D1, \xe2\x83\x91, COMBINING RIGHT HARPOON ABOVE
U+20D2, \xe2\x83\x92, COMBINING LONG VERTICAL LINE OVERLAY
U+20D3, \xe2\x83\x93, COMBINING SHORT VERTICAL LINE OVERLAY
U+20D4, \xe2\x83\x94, COMBINING ANTICLOCKWISE ARROW ABOVE
U+20D5, \xe2\x83\x95, COMBINING CLOCKWISE ARROW ABOVE
U+20D6, \xe2\x83\x96, COMBINING LEFT ARROW ABOVE
U+20D7, \xe2\x83\x97, COMBINING RIGHT ARROW ABOVE
U+20D8, \xe2\x83\x98, COMBINING RING OVERLAY
U+20D9, \xe2\x83\x99, COMBINING CLOCKWISE RING OVERLAY
U+20DA, \xe2\x83\x9a, COMBINING ANTICLOCKWISE RING OVERLAY
U+20DB, \xe2\x83\x9b, COMBINING THREE DOTS ABOVE
U+20DC, \xe2\x83\x9c, COMBINING FOUR DOTS ABOVE
U+20DD, \xe2\x83\x9d, COMBINING ENCLOSING CIRCLE
U+20DE, \xe2\x83\x9e, COMBINING ENCLOSING SQUARE
U+20DF, \xe2\x83\x9f, COMBINING ENCLOSING DIAMOND
U+20E0, \xe2\x83\xa0, COMBINING ENCLOSING CIRCLE BACKSLASH
U+20E1, \xe2\x83\xa1, COMBINING LEFT RIGHT ARROW ABOVE
U+20E2, \xe2\x83\xa2, COMBINING ENCLOSING SCREEN
U+20E3, \xe2\x83\xa3, COMBINING ENCLOSING KEYCAP
U+20E4, \xe2\x83\xa4, COMBINING ENCLOSING UPWARD POINTING TRIANGLE
U+20E5, \xe2\x83\xa5, COMBINING REVERSE SOLIDUS OVERLAY
U+20E6, \xe2\x83\xa6, COMBINING DOUBLE VERTICAL STROKE OVERLAY
U+20E7, \xe2\x83\xa7, COMBINING ANNUITY SYMBOL
U+20E8, \xe2\x83\xa8, COMBINING TRIPLE UNDERDOT
U+20E9, \xe2\x83\xa9, COMBINING WIDE BRIDGE ABOVE
U+20EA, \xe2\x83\xaa, COMBINING LEFTWARDS ARROW OVERLAY
U+20EB, \xe2\x83\xab, COMBINING LONG DOUBLE SOLIDUS OVERLAY
U+20EC, \xe2\x83\xac, COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
U+20ED, \xe2\x83\xad, COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
U+20EE, \xe2\x83\xae, COMBINING LEFT ARROW BELOW
U+20EF, \xe2\x83\xaf, COMBINING RIGHT ARROW BELOW
U+20F0, \xe2\x83\xb0, COMBINING ASTERISK ABOVE
