# Playing Cards
U+1F11A, \xf0\x9f\x84\x9a, PARENTHESIZED LATIN CAPITAL LETTER K
U+1F11B, \xf0\x9f\x84\x9b, PARENTHESIZED LATIN CAPITAL LETTER L
U+1F11C, \xf0\x9f\x84\x9c, PARENTHESIZED LATIN CAPITAL LETTER M
U+1F11D, \xf0\x9f\x84\x9d, PARENTHESIZED LATIN CAPITAL LETTER N
U+1F11E, \xf0\x9f\x84\x9e, PARENTHESIZED LATIN CAPITAL LETTER O
U+1F11F, \xf0\x9f\x84\x9f, PARENTHESIZED LATIN CAPITAL LETTER P
U+1F120, \xf0\x9f\x84\xa0, PARENTHESIZED LATIN CAPITAL LETTER Q
U+1F121, \xf0\x9f\x84\xa1, PARENTHESIZED LATIN CAPITAL LETTER R
U+1F122, \xf0\x9f\x84\xa2, PARENTHESIZED LATIN CAPITAL LETTER S
U+1F123, \xf0\x9f\x84\xa3, PARENTHESIZED LATIN CAPITAL LETTER T
U+1F124, \xf0\x9f\x84\xa4, PARENTHESIZED LATIN CAPITAL LETTER U
U+1F125, \xf0\x9f\x84\xa5, PARENTHESIZED LATIN CAPITAL LETTER V
U+1F126, \xf0\x9f\x84\xa6, PARENTHESIZED LATIN CAPITAL LETTER W
U+1F127, \xf0\x9f\x84\xa7, PARENTHESIZED LATIN CAPITAL LETTER X
U+1F128, \xf0\x9f\x84\xa8, PARENTHESIZED LATIN CAPITAL LETTER Y
U+1F129, \xf0\x9f\x84\xa9, PARENTHESIZED LATIN CAPITAL LETTER Z
U+1F12A, \xf0\x9f\x84\xaa, TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S
U+1F12B, \xf0\x9f\x84\xab, CIRCLED ITALIC LATIN CAPITAL LETTER C
U+1F12C, \xf0\x9f\x84\xac, CIRCLED ITALIC LATIN CAPITAL LETTER R
U+1F12D, \xf0\x9f\x84\xad, CIRCLED CD
U+1F12E, \xf0\x9f\x84\xae, CIRCLED WZ
U+1F130, \xf0\x9f\x84\xb0, SQUARED LATIN CAPITAL LETTER A
U+1F131, \xf0\x9f\x84\xb1, SQUARED LATIN CAPITAL LETTER B
U+1F132, \xf0\x9f\x84\xb2, SQUARED LATIN CAPITAL LETTER C
U+1F133, \xf0\x9f\x84\xb3, SQUARED LATIN CAPITAL LETTER D
U+1F134, \xf0\x9f\x84\xb4, SQUARED LATIN CAPITAL LETTER E
U+1F135, \xf0\x9f\x84\xb5, SQUARED LATIN CAPITAL LETTER F
U+1F136, \xf0\x9f\x84\xb6, SQUARED LATIN CAPITAL LETTER G
U+1F137, \xf0\x9f\x84\xb7, SQUARED LATIN CAPITAL LETTER H
U+1F138, \xf0\x9f\x84\xb8, SQUARED LATIN CAPITAL LETTER I
U+1F139, \xf0\x9f\x84\xb9, SQUARED LATIN CAPITAL LETTER J
U+1F13A, \xf0\x9f\x84\xba, SQUARED LATIN CAPITAL LETTER K
U+1F13B, \xf0\x9f\x84\xbb, SQUARED LATIN CAPITAL LETTER L
U+1F13C, \xf0\x9f\x84\xbc, SQUARED LATIN CAPITAL LETTER M
U+1F13D, \xf0\x9f\x84\xbd, SQUARED LATIN CAPITAL LETTER N
U+1F13E, \xf0\x9f\x84\xbe, SQUARED LATIN CAPITAL LETTER O
U+1F13F, \xf0\x9f\x84\xbf, SQUARED LATIN CAPITAL LETTER P
U+1F140, \xf0\x9f\x85\x80, SQUARED LATIN CAPITAL LETTER Q
U+1F141, \xf0\x9f\x85\x81, SQUARED LATIN CAPITAL LETTER R
U+1F142, \xf0\x9f\x85\x82, SQUARED LATIN CAPITAL LETTER S
U+1F143, \xf0\x9f\x85\x83, SQUARED LATIN CAPITAL LETTER T
U+1F144, \xf0\x9f\x85\x84, SQUARED LATIN CAPITAL LETTER U
U+1F145, \xf0\x9f\x85\x85, SQUARED LATIN CAPITAL LETTER V
U+1F146, \xf0\x9f\x85\x86, SQUARED LATIN CAPITAL LETTER W
U+1F147, \xf0\x9f\x85\x87, SQUARED LATIN CAPITAL LETTER X
U+1F148, \xf0\x9f\x85\x88, SQUARED LATIN CAPITAL LETTER Y
U+1F149, \xf0\x9f\x85\x89, SQUARED LATIN CAPITAL LETTER Z
U+1F14A, \xf0\x9f\x85\x8a, SQUARED HV
U+1F14B, \xf0\x9f\x85\x8b, SQUARED MV
U+1F14C, \xf0\x9f\x85\x8c, SQUARED SD
U+1F14D, \xf0\x9f\x85\x8d, SQUARED SS
