# Cyrillic Extended-B
U+A6A0, \xea\x9a\xa0, BAMUM LETTER A
U+A6A1, \xea\x9a\xa1, BAMUM LETTER KA
U+A6A2, \xea\x9a\xa2, BAMUM LETTER U
U+A6A3, \xea\x9a\xa3, BAMUM LETTER KU
U+A6A4, \xea\x9a\xa4, BAMUM LETTER EE
U+A6A5, \xea\x9a\xa5, BAMUM LETTER REE
U+A6A6, \xea\x9a\xa6, BAMUM LETTER TAE
U+A6A7, \xea\x9a\xa7, BAMUM LETTER O
U+A6A8, \xea\x9a\xa8, BAMUM LETTER NYI
U+A6A9, \xea\x9a\xa9, BAMUM LETTER I
U+A6AA, \xea\x9a\xaa, BAMUM LETTER LA
U+A6AB, \xea\x9a\xab, BAMUM LETTER PA
U+A6AC, \xea\x9a\xac, BAMUM LETTER RII
U+A6AD, \xea\x9a\xad, BAMUM LETTER RIEE
U+A6AE, \xea\x9a\xae, BAMUM LETTER LEEEE
U+A6AF, \xea\x9a\xaf, BAMUM LETTER MEEEE
U+A6B0, \xea\x9a\xb0, BAMUM LETTER TAA
U+A6B1, \xea\x9a\xb1, BAMUM LETTER NDAA
U+A6B2, \xea\x9a\xb2, BAMUM LETTER NJAEM
U+A6B3, \xea\x9a\xb3, BAMUM LETTER M
U+A6B4, \xea\x9a\xb4, BAMUM LETTER SUU
U+A6B5, \xea\x9a\xb5, BAMUM LETTER MU
U+A6B6, \xea\x9a\xb6, BAMUM LETTER SHII
U+A6B7, \xea\x9a\xb7, BAMUM LETTER SI
U+A6B8, \xea\x9a\xb8, BAMUM LETTER SHEUX
U+A6B9, \xea\x9a\xb9, BAMUM LETTER SEUX
U+A6BA, \xea\x9a\xba, BAMUM LETTER KYEE
U+A6BB, \xea\x9a\xbb, BAMUM LETTER KET
U+A6BC, \xea\x9a\xbc, BAMUM LETTER NUAE
U+A6BD, \xea\x9a\xbd, BAMUM LETTER NU
U+A6BE, \xea\x9a\xbe, BAMUM LETTER NJUAE
U+A6BF, \xea\x9a\xbf, BAMUM LETTER YOQ
U+A6C0, \xea\x9b\x80, BAMUM LETTER SHU
U+A6C1, \xea\x9b\x81, BAMUM LETTER YUQ
U+A6C2, \xea\x9b\x82, BAMUM LETTER YA
U+A6C3, \xea\x9b\x83, BAMUM LETTER NSHA
U+A6C4, \xea\x9b\x84, BAMUM LETTER KEUX
U+A6C5, \xea\x9b\x85, BAMUM LETTER PEUX
U+A6C6, \xea\x9b\x86, BAMUM LETTER NJEE
U+A6C7, \xea\x9b\x87, BAMUM LETTER NTEE
U+A6C8, \xea\x9b\x88, BAMUM LETTER PUE
U+A6C9, \xea\x9b\x89, BAMUM LETTER WUE
U+A6CA, \xea\x9b\x8a, BAMUM LETTER PEE
U+A6CB, \xea\x9b\x8b, BAMUM LETTER FEE
U+A6CC, \xea\x9b\x8c, BAMUM LETTER RU
U+A6CD, \xea\x9b\x8d, BAMUM LETTER LU
U+A6CE, \xea\x9b\x8e, BAMUM LETTER MI
U+A6CF, \xea\x9b\x8f, BAMUM LETTER NI
U+A6D0, \xea\x9b\x90, BAMUM LETTER REUX
U+A6D1, \xea\x9b\x91, BAMUM LETTER RAE
U+A6D2, \xea\x9b\x92, BAMUM LETTER KEN
U+A6D3, \xea\x9b\x93, BAMUM LETTER NGKWAEN
U+A6D4, \xea\x9b\x94, BAMUM LETTER NGGA
U+A6D5, \xea\x9b\x95, BAMUM LETTER NGA
U+A6D6, \xea\x9b\x96, BAMUM LETTER SHO
U+A6D7, \xea\x9b\x97, BAMUM LETTER PUAE
U+A6D8, \xea\x9b\x98, BAMUM LETTER FU
U+A6D9, \xea\x9b\x99, BAMUM LETTER FOM
U+A6DA, \xea\x9b\x9a, BAMUM LETTER WA
U+A6DB, \xea\x9b\x9b, BAMUM LETTER NA
U+A6DC, \xea\x9b\x9c, BAMUM LETTER LI
U+A6DD, \xea\x9b\x9d, BAMUM LETTER PI
U+A6DE, \xea\x9b\x9e, BAMUM LETTER LOQ
U+A6DF, \xea\x9b\x9f, BAMUM LETTER KO
U+A6E0, \xea\x9b\xa0, BAMUM LETTER MBEN
U+A6E1, \xea\x9b\xa1, BAMUM LETTER REN
U+A6E2, \xea\x9b\xa2, BAMUM LETTER MEN
U+A6E3, \xea\x9b\xa3, BAMUM LETTER MA
U+A6E4, \xea\x9b\xa4, BAMUM LETTER TI
U+A6E5, \xea\x9b\xa5, BAMUM LETTER KI
U+A6E6, \xea\x9b\xa6, BAMUM LETTER MO
U+A6E7, \xea\x9b\xa7, BAMUM LETTER MBAA
U+A6E8, \xea\x9b\xa8, BAMUM LETTER TET
U+A6E9, \xea\x9b\xa9, BAMUM LETTER KPA
U+A6EA, \xea\x9b\xaa, BAMUM LETTER TEN
U+A6EB, \xea\x9b\xab, BAMUM LETTER NTUU
U+A6EC, \xea\x9b\xac, BAMUM LETTER SAMBA
U+A6ED, \xea\x9b\xad, BAMUM LETTER FAAMAE
U+A6EE, \xea\x9b\xae, BAMUM LETTER KOVUU
U+A6EF, \xea\x9b\xaf, BAMUM LETTER KOGHOM
U+A6F0, \xea\x9b\xb0, BAMUM COMBINING MARK KOQNDON
U+A6F1, \xea\x9b\xb1, BAMUM COMBINING MARK TUKWENTIS
U+A6F2, \xea\x9b\xb2, BAMUM NJAEMLI
U+A6F3, \xea\x9b\xb3, BAMUM FULL STOP
U+A6F4, \xea\x9b\xb4, BAMUM COLON
U+A6F5, \xea\x9b\xb5, BAMUM COMMA
U+A6F6, \xea\x9b\xb6, BAMUM SEMICOLON
U+A6F7, \xea\x9b\xb7, BAMUM QUESTION MARK
U+A700, \xea\x9c\x80, MODIFIER LETTER CHINESE TONE YIN PING
U+A701, \xea\x9c\x81, MODIFIER LETTER CHINESE TONE YANG PING
U+A702, \xea\x9c\x82, MODIFIER LETTER CHINESE TONE YIN SHANG
U+A703, \xea\x9c\x83, MODIFIER LETTER CHINESE TONE YANG SHANG
U+A704, \xea\x9c\x84, MODIFIER LETTER CHINESE TONE YIN QU
U+A705, \xea\x9c\x85, MODIFIER LETTER CHINESE TONE YANG QU
