# Yi Radicals
U+A508, \xea\x94\x88, VAI SYLLABLE MBEE
U+A509, \xea\x94\x89, VAI SYLLABLE KPEE
U+A50A, \xea\x94\x8a, VAI SYLLABLE MGBEE
U+A50B, \xea\x94\x8b, VAI SYLLABLE GBEE
U+A50C, \xea\x94\x8c, VAI SYLLABLE FEE
U+A50D, \xea\x94\x8d, VAI SYLLABLE VEE
U+A50E, \xea\x94\x8e, VAI SYLLABLE TEE
U+A50F, \xea\x94\x8f, VAI SYLLABLE THEE
U+A510, \xea\x94\x90, VAI SYLLABLE DHEE
U+A511, \xea\x94\x91, VAI SYLLABLE DHHEE
U+A512, \xea\x94\x92, VAI SYLLABLE LEE
U+A513, \xea\x94\x93, VAI SYLLABLE REE
U+A514, \xea\x94\x94, VAI SYLLABLE DEE
U+A515, \xea\x94\x95, VAI SYLLABLE NDEE
U+A516, \xea\x94\x96, VAI SYLLABLE SEE
U+A517, \xea\x94\x97, VAI SYLLABLE SHEE
U+A518, \xea\x94\x98, VAI SYLLABLE ZEE
U+A519, \xea\x94\x99, VAI SYLLABLE ZHEE
U+A51A, \xea\x94\x9a, VAI SYLLABLE CEE
U+A51B, \xea\x94\x9b, VAI SYLLABLE JEE
U+A51C, \xea\x94\x9c, VAI SYLLABLE NJEE
U+A51D, \xea\x94\x9d, VAI SYLLABLE YEE
U+A51E, \xea\x94\x9e, VAI SYLLABLE KEE
U+A51F, \xea\x94\x9f, VAI SYLLABLE NGGEE
U+A520, \xea\x94\xa0, VAI SYLLABLE GEE
U+A521, \xea\x94\xa1, VAI SYLLABLE MEE
U+A522, \xea\x94\xa2, VAI SYLLABLE NEE
U+A523, \xea\x94\xa3, VAI SYLLABLE NYEE
U+A524, \xea\x94\xa4, VAI SYLLABLE I
U+A525, \xea\x94\xa5, VAI SYLLABLE IN
U+A526, \xea\x94\xa6, VAI SYLLABLE HI
U+A527, \xea\x94\xa7, VAI SYLLABLE HIN
U+A528, \xea\x94\xa8, VAI SYLLABLE WI
U+A529, \xea\x94\xa9, VAI SYLLABLE WIN
U+A52A, \xea\x94\xaa, VAI SYLLABLE PI
U+A52B, \xea\x94\xab, VAI SYLLABLE BHI
U+A52C, \xea\x94\xac, VAI SYLLABLE BI
U+A52D, \xea\x94\xad, VAI SYLLABLE MBI
U+A52E, \xea\x94\xae, VAI SYLLABLE KPI
U+A52F, \xea\x94\xaf, VAI SYLLABLE MGBI
U+A530, \xea\x94\xb0, VAI SYLLABLE GBI
U+A531, \xea\x94\xb1, VAI SYLLABLE FI
U+A532, \xea\x94\xb2, VAI SYLLABLE VI
U+A533, \xea\x94\xb3, VAI SYLLABLE TI
U+A534, \xea\x94\xb4, VAI SYLLABLE THI
U+A535, \xea\x94\xb5, VAI SYLLABLE DHI
U+A536, \xea\x94\xb6, VAI SYLLABLE DHHI
U+A537, \xea\x94\xb7, VAI SYLLABLE LI
U+A538, \xea\x94\xb8, VAI SYLLABLE RI
U+A539, \xea\x94\xb9, VAI SYLLABLE DI
U+A53A, \xea\x94\xba, VAI SYLLABLE NDI
U+A53B, \xea\x94\xbb, VAI SYLLABLE SI
U+A53C, \xea\x94\xbc, VAI SYLLABLE SHI
U+A53D, \xea\x94\xbd, VAI SYLLABLE ZI
U+A53E, \xea\x94\xbe, VAI SYLLABLE ZHI
U+A53F, \xea\x94\xbf, VAI SYLLABLE CI
U+A540, \xea\x95\x80, VAI SYLLABLE JI
U+A541, \xea\x95\x81, VAI SYLLABLE NJI
U+A542, \xea\x95\x82, VAI SYLLABLE YI
U+A543, \xea\x95\x83, VAI SYLLABLE KI
U+A544, \xea\x95\x84, VAI SYLLABLE NGGI
U+A545, \xea\x95\x85, VAI SYLLABLE GI
U+A546, \xea\x95\x86, VAI SYLLABLE MI
U+A547, \xea\x95\x87, VAI SYLLABLE NI
U+A548, \xea\x95\x88, VAI SYLLABLE NYI
U+A549, \xea\x95\x89, VAI SYLLABLE A
U+A54A, \xea\x95\x8a, VAI SYLLABLE AN
U+A54B, \xea\x95\x8b, VAI SYLLABLE NGAN
U+A54C, \xea\x95\x8c, VAI SYLLABLE HA
U+A54D, \xea\x95\x8d, VAI SYLLABLE HAN
U+A54E, \xea\x95\x8e, VAI SYLLABLE WA
U+A54F, \xea\x95\x8f, VAI SYLLABLE WAN
U+A550, \xea\x95\x90, VAI SYLLABLE PA
U+A551, \xea\x95\x91, VAI SYLLABLE BHA
U+A552, \xea\x95\x92, VAI SYLLABLE BA
U+A553, \xea\x95\x93, VAI SYLLABLE MBA
U+A554, \xea\x95\x94, VAI SYLLABLE KPA
U+A555, \xea\x95\x95, VAI SYLLABLE KPAN
U+A556, \xea\x95\x96, VAI SYLLABLE MGBA
U+A557, \xea\x95\x97, VAI SYLLABLE GBA
U+A558, \xea\x95\x98, VAI SYLLABLE FA
U+A559, \xea\x95\x99, VAI SYLLABLE VA
U+A55A, \xea\x95\x9a, VAI SYLLABLE TA
U+A55B, \xea\x95\x9b, VAI SYLLABLE THA
U+A55C, \xea\x95\x9c, VAI SYLLABLE DHA
U+A55D, \xea\x95\x9d, VAI SYLLABLE DHHA
U+A55E, \xea\x95\x9e, VAI SYLLABLE LA
U+A55F, \xea\x95\x9f, VAI SYLLABLE RA
U+A560, \xea\x95\xa0, VAI SYLLABLE DA
U+A561, \xea\x95\xa1, VAI SYLLABLE NDA
U+A562, \xea\x95\xa2, VAI SYLLABLE SA
U+A563, \xea\x95\xa3, VAI SYLLABLE SHA
U+A564, \xea\x95\xa4, VAI SYLLABLE ZA
U+A565, \xea\x95\xa5, VAI SYLLABLE ZHA
U+A566, \xea\x95\xa6, VAI SYLLABLE CA
U+A567, \xea\x95\xa7, VAI SYLLABLE JA
U+A568, \xea\x95\xa8, VAI SYLLABLE NJA
U+A569, \xea\x95\xa9, VAI SYLLABLE YA
U+A56A, \xea\x95\xaa, VAI SYLLABLE KA
U+A56B, \xea\x95\xab, VAI SYLLABLE KAN
U+A56C, \xea\x95\xac, VAI SYLLABLE NGGA
U+A56D, \xea\x95\xad, VAI SYLLABLE GA
U+A56E, \xea\x95\xae, VAI SYLLABLE MA
U+A56F, \xea\x95\xaf, VAI SYLLABLE NA
U+A570, \xea\x95\xb0, VAI SYLLABLE NYA
U+A571, \xea\x95\xb1, VAI SYLLABLE OO
U+A572, \xea\x95\xb2, VAI SYLLABLE OON
U+A573, \xea\x95\xb3, VAI SYLLABLE HOO
U+A574, \xea\x95\xb4, VAI SYLLABLE WOO
U+A575, \xea\x95\xb5, VAI SYLLABLE WOON
U+A576, \xea\x95\xb6, VAI SYLLABLE POO
U+A577, \xea\x95\xb7, VAI SYLLABLE BHOO
U+A578, \xea\x95\xb8, VAI SYLLABLE BOO
U+A579, \xea\x95\xb9, VAI SYLLABLE MBOO
U+A57A, \xea\x95\xba, VAI SYLLABLE KPOO
U+A57B, \xea\x95\xbb, VAI SYLLABLE MGBOO
U+A57C, \xea\x95\xbc, VAI SYLLABLE GBOO
U+A57D, \xea\x95\xbd, VAI SYLLABLE FOO
U+A57E, \xea\x95\xbe, VAI SYLLABLE VOO
U+A57F, \xea\x95\xbf, VAI SYLLABLE TOO
U+A580, \xea\x96\x80, VAI SYLLABLE THOO
U+A581, \xea\x96\x81, VAI SYLLABLE DHOO
U+A582, \xea\x96\x82, VAI SYLLABLE DHHOO
U+A583, \xea\x96\x83, VAI SYLLABLE LOO
U+A584, \xea\x96\x84, VAI SYLLABLE ROO
U+A585, \xea\x96\x85, VAI SYLLABLE DOO
U+A586, \xea\x96\x86, VAI SYLLABLE NDOO
U+A587, \xea\x96\x87, VAI SYLLABLE SOO
U+A588, \xea\x96\x88, VAI SYLLABLE SHOO
U+A589, \xea\x96\x89, VAI SYLLABLE ZOO
U+A58A, \xea\x96\x8a, VAI SYLLABLE ZHOO
U+A58B, \xea\x96\x8b, VAI SYLLABLE COO
U+A58C, \xea\x96\x8c, VAI SYLLABLE JOO
U+A58D, \xea\x96\x8d, VAI SYLLABLE NJOO
U+A58E, \xea\x96\x8e, VAI SYLLABLE YOO
U+A58F, \xea\x96\x8f, VAI SYLLABLE KOO
