# Number Forms
U+2172, \xe2\x85\xb2, SMALL ROMAN NUMERAL THREE
U+2173, \xe2\x85\xb3, SMALL ROMAN NUMERAL FOUR
U+2174, \xe2\x85\xb4, SMALL ROMAN NUMERAL FIVE
U+2175, \xe2\x85\xb5, SMALL ROMAN NUMERAL SIX
U+2176, \xe2\x85\xb6, SMALL ROMAN NUMERAL SEVEN
U+2177, \xe2\x85\xb7, SMALL ROMAN NUMERAL EIGHT
U+2178, \xe2\x85\xb8, SMALL ROMAN NUMERAL NINE
U+2179, \xe2\x85\xb9, SMALL ROMAN NUMERAL TEN
U+217A, \xe2\x85\xba, SMALL ROMAN NUMERAL ELEVEN
U+217B, \xe2\x85\xbb, SMALL ROMAN NUMERAL TWELVE
U+217C, \xe2\x85\xbc, SMALL ROMAN NUMERAL FIFTY
U+217D, \xe2\x85\xbd, SMALL ROMAN NUMERAL ONE HUNDRED
U+217E, \xe2\x85\xbe, SMALL ROMAN NUMERAL FIVE HUNDRED
U+217F, \xe2\x85\xbf, SMALL ROMAN NUMERAL ONE THOUSAND
U+2180, \xe2\x86\x80, ROMAN NUMERAL ONE THOUSAND C D
U+2181, \xe2\x86\x81, ROMAN NUMERAL FIVE THOUSAND
U+2182, \xe2\x86\x82, ROMAN NUMERAL TEN THOUSAND
U+2183, \xe2\x86\x83, ROMAN NUMERAL REVERSED ONE HUNDRED
U+2184, \xe2\x86\x84, LATIN SMALL LETTER REVERSED C
U+2185, \xe2\x86\x85, ROMAN NUMERAL SIX LATE FORM
U+2186, \xe2\x86\x86, ROMAN NUMERAL FIFTY EARLY FORM
U+2187, \xe2\x86\x87, ROMAN NUMERAL FIFTY THOUSAND
U+2188, \xe2\x86\x88, ROMAN NUMERAL ONE HUNDRED THOUSAND
U+2189, \xe2\x86\x89, VULGAR FRACTION ZERO THIRDS
U+2190, \xe2\x86\x90, LEFTWARDS ARROW
U+2191, \xe2\x86\x91, UPWARDS ARROW
U+2192, \xe2\x86\x92, RIGHTWARDS ARROW
U+2193, \xe2\x86\x93, DOWNWARDS ARROW
U+2194, \xe2\x86\x94, LEFT RIGHT ARROW
U+2195, \xe2\x86\x95, UP DOWN ARROW
U+2196, \xe2\x86\x96, NORTH WEST ARROW
U+2197, \xe2\x86\x97, NORTH EAST ARROW
U+2198, \xe2\x86\x98, SOUTH EAST ARROW
U+2199, \xe2\x86\x99, SOUTH WEST ARROW
U+219A, \xe2\x86\x9a, LEFTWARDS ARROW WITH STROKE
U+219B, \xe2\x86\x9b, RIGHTWARDS ARROW WITH STROKE
U+219C, \xe2\x86\x9c, LEFTWARDS WAVE ARROW
U+219D, \xe2\x86\x9d, RIGHTWARDS WAVE ARROW
U+219E, \xe2\x86\x9e, LEFTWARDS TWO HEADED ARROW
U+219F, \xe2\x86\x9f, UPWARDS TWO HEADED ARROW
U+21A0, \xe2\x86\xa0, RIGHTWARDS TWO HEADED ARROW
U+21A1, \xe2\x86\xa1, DOWNWARDS TWO HEADED ARROW
U+21A2, \xe2\x86\xa2, LEFTWARDS ARROW WITH TAIL
U+21A3, \xe2\x86\xa3, RIGHTWARDS ARROW WITH TAIL
U+21A4, \xe2\x86\xa4, LEFTWARDS ARROW FROM BAR
U+21A5, \xe2\x86\xa5, UPWARDS ARROW FROM BAR
U+21A6, \xe2\x86\xa6, RIGHTWARDS ARROW FROM BAR
U+21A7, \xe2\x86\xa7, DOWNWARDS ARROW FROM BAR
U+21A8, \xe2\x86\xa8, UP DOWN ARROW WITH BASE
U+21A9, \xe2\x86\xa9, LEFTWARDS ARROW WITH HOOK
U+21AA, \xe2\x86\xaa, RIGHTWARDS ARROW WITH HOOK
U+21AB, \xe2\x86\xab, LEFTWARDS ARROW WITH LOOP
U+21AC, \xe2\x86\xac, RIGHTWARDS ARROW WITH LOOP
U+21AD, \xe2\x86\xad, LEFT RIGHT WAVE ARROW
U+21AE, \xe2\x86\xae, LEFT RIGHT ARROW WITH STROKE
U+21AF, \xe2\x86\xaf, DOWNWARDS ZIGZAG ARROW
U+21B0, \xe2\x86\xb0, UPWARDS ARROW WITH TIP LEFTWARDS
U+21B1, \xe2\x86\xb1, UPWARDS ARROW WITH TIP RIGHTWARDS
U+21B2, \xe2\x86\xb2, DOWNWARDS ARROW WITH TIP LEFTWARDS
U+21B3, \xe2\x86\xb3, DOWNWARDS ARROW WITH TIP RIGHTWARDS
U+21B4, \xe2\x86\xb4, RIGHTWARDS ARROW WITH CORNER DOWNWARDS
U+21B5, \xe2\x86\xb5, DOWNWARDS ARROW WITH CORNER LEFTWARDS
U+21B6, \xe2\x86\xb6, ANTICLOCKWISE TOP SEMICIRCLE ARROW
U+21B7, \xe2\x86\xb7, CLOCKWISE TOP SEMICIRCLE ARROW
U+21B8, \xe2\x86\xb8, NORTH WEST ARROW TO LONG BAR
U+21B9, \xe2\x86\xb9, LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
U+21BA, \xe2\x86\xba, ANTICLOCKWISE OPEN CIRCLE ARROW
U+21BB, \xe2\x86\xbb, CLOCKWISE OPEN CIRCLE ARROW
U+21BC, \xe2\x86\xbc, LEFTWARDS HARPOON WITH BARB UPWARDS
U+21BD, \xe2\x86\xbd, LEFTWARDS HARPOON WITH BARB DOWNWARDS
U+21BE, \xe2\x86\xbe, UPWARDS HARPOON WITH BARB RIGHTWARDS
U+21BF, \xe2\x86\xbf, UPWARDS HARPOON WITH BARB LEFTWARDS
U+21C0, \xe2\x87\x80, RIGHTWARDS HARPOON WITH BARB UPWARDS
U+21C1, \xe2\x87\x81, RIGHTWARDS HARPOON WITH BARB DOWNWARDS
U+21C2, \xe2\x87\x82, DOWNWARDS HARPOON WITH BARB RIGHTWARDS
U+21C3, \xe2\x87\x83, DOWNWARDS HARPOON WITH BARB LEFTWARDS
U+21C4, \xe2\x87\x84, RIGHTWARDS ARROW OVER LEFTWARDS ARROW
U+21C5, \xe2\x87\x85, UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
U+21C6, \xe2\x87\x86, LEFTWARDS ARROW OVER RIGHTWARDS ARROW
U+21C7, \xe2\x87\x87, LEFTWARDS PAIRED ARROWS
U+21C8, \xe2\x87\x88, UPWARDS PAIRED ARROWS
U+21C9, \xe2\x87\x89, RIGHTWARDS PAIRED ARROWS
U+21CA, \xe2\x87\x8a, DOWNWARDS PAIRED ARROWS
U+21CB, \xe2\x87\x8b, LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
U+21CC, \xe2\x87\x8c, RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
U+21CD, \xe2\x87\x8d, LEFTWARDS DOUBLE ARROW WITH STROKE
U+21CE, \xe2\x87\x8e, LEFT RIGHT DOUBLE ARROW WITH STROKE
U+21CF, \xe2\x87\x8f, RIGHTWARDS DOUBLE ARROW WITH STROKE
U+21D0, \xe2\x87\x90, LEFTWARDS DOUBLE ARROW
U+21D1, \xe2\x87\x91, UPWARDS DOUBLE ARROW
U+21D2, \xe2\x87\x92, RIGHTWARDS DOUBLE ARROW
U+21D3, \xe2\x87\x93, DOWNWARDS DOUBLE ARROW
U+21D4, \xe2\x87\x94, LEFT RIGHT DOUBLE ARROW
U+21D5, \xe2\x87\x95, UP DOWN DOUBLE ARROW
U+21D6, \xe2\x87\x96, NORTH WEST DOUBLE ARROW
U+21D7, \xe2\x87\x97, NORTH EAST DOUBLE ARROW
U+21D8, \xe2\x87\x98, SOUTH EAST DOUBLE ARROW
U+21D9, \xe2\x87\x99, SOUTH WEST DOUBLE ARROW
U+21DA, \xe2\x87\x9a, LEFTWARDS TRIPLE ARROW
U+21DB, \xe2\x87\x9b, RIGHTWARDS TRIPLE ARROW
U+21DC, \xe2\x87\x9c, LEFTWARDS SQUIGGLE ARROW
U+21DD, \xe2\x87\x9d, RIGHTWARDS SQUIGGLE ARROW
U+21DE, \xe2\x87\x9e, UPWARDS ARROW WITH DOUBLE STROKE
U+21DF, \xe2\x87\x9f, DOWNWARDS ARROW WITH DOUBLE STROKE
U+21E0, \xe2\x87\xa0, LEFTWARDS DASHED ARROW
U+21E1, \xe2\x87\xa1, UPWARDS DASHED ARROW
U+21E2, \xe2\x87\xa2, RIGHTWARDS DASHED ARROW
U+21E3, \xe2\x87\xa3, DOWNWARDS DASHED ARROW
U+21E4, \xe2\x87\xa4, LEFTWARDS ARROW TO BAR
U+21E5, \xe2\x87\xa5, RIGHTWARDS ARROW TO BAR
U+21E6, \xe2\x87\xa6, LEFTWARDS WHITE ARROW
U+21E7, \xe2\x87\xa7, UPWARDS WHITE ARROW
U+21E8, \xe2\x87\xa8, RIGHTWARDS WHITE ARROW
U+21E9, \xe2\x87\xa9, DOWNWARDS WHITE ARROW
U+21EA, \xe2\x87\xaa, UPWARDS WHITE ARROW FROM BAR
U+21EB, \xe2\x87\xab, UPWARDS WHITE ARROW ON PEDESTAL
U+21EC, \xe2\x87\xac, UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
U+21ED, \xe2\x87\xad, UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
U+21EE, \xe2\x87\xae, UPWARDS WHITE DOUBLE ARROW
U+21EF, \xe2\x87\xaf, UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
U+21F0, \xe2\x87\xb0, RIGHTWARDS WHITE ARROW FROM WALL
U+21F1, \xe2\x87\xb1, NORTH WEST ARROW TO CORNER
U+21F2, \xe2\x87\xb2, SOUTH EAST ARROW TO CORNER
U+21F3, \xe2\x87\xb3, UP DOWN WHITE ARROW
U+21F4, \xe2\x87\xb4, RIGHT ARROW WITH SMALL CIRCLE
U+21F5, \xe2\x87\xb5, DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
U+21F6, \xe2\x87\xb6, THREE RIGHTWARDS ARROWS
U+21F7, \xe2\x87\xb7, LEFTWARDS ARROW WITH VERTICAL STROKE
U+21F8, \xe2\x87\xb8, RIGHTWARDS ARROW WITH VERTICAL STROKE
U+21F9, \xe2\x87\xb9, LEFT RIGHT ARROW WITH VERTICAL STROKE
U+21FA, \xe2\x87\xba, LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
U+21FB, \xe2\x87\xbb, RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
U+21FC, \xe2\x87\xbc, LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
U+21FD, \xe2\x87\xbd, LEFTWARDS OPEN-HEADED ARROW
U+21FE, \xe2\x87\xbe, RIGHTWARDS OPEN-HEADED ARROW
U+21FF, \xe2\x87\xbf, LEFT RIGHT OPEN-HEADED ARROW
U+2200, \xe2\x88\x80, FOR ALL
U+2201, \xe2\x88\x81, COMPLEMENT
U+2202, \xe2\x88\x82, PARTIAL DIFFERENTIAL
U+2203, \xe2\x88\x83, THERE EXISTS
U+2204, \xe2\x88\x84, THERE DOES NOT EXIST
U+2205, \xe2\x88\x85, EMPTY SET
U+2206, \xe2\x88\x86, INCREMENT
U+2207, \xe2\x88\x87, NABLA
U+2208, \xe2\x88\x88, ELEMENT OF
U+2209, \xe2\x88\x89, NOT AN ELEMENT OF
U+220A, \xe2\x88\x8a, SMALL ELEMENT OF
U+220B, \xe2\x88\x8b, CONTAINS AS MEMBER
U+220C, \xe2\x88\x8c, DOES NOT CONTAIN AS MEMBER
U+220D, \xe2\x88\x8d, SMALL CONTAINS AS MEMBER
U+220E, \xe2\x88\x8e, END OF PROOF
U+220F, \xe2\x88\x8f, N-ARY PRODUCT
U+2210, \xe2\x88\x90, N-ARY COPRODUCT
U+2211, \xe2\x88\x91, N-ARY SUMMATION
U+2212, \xe2\x88\x92, MINUS SIGN
U+2213, \xe2\x88\x93, MINUS-OR-PLUS SIGN
U+2214, \xe2\x88\x94, DOT PLUS
U+2215, \xe2\x88\x95, DIVISION SLASH
U+2216, \xe2\x88\x96, SET MINUS
U+2217, \xe2\x88\x97, ASTERISK OPERATOR
U+2218, \xe2\x88\x98, RING OPERATOR
U+2219, \xe2\x88\x99, BULLET OPERATOR
U+221A, \xe2\x88\x9a, SQUARE ROOT
U+221B, \xe2\x88\x9b, CUBE ROOT
U+221C, \xe2\x88\x9c, FOURTH ROOT
U+221D, \xe2\x88\x9d, PROPORTIONAL TO
U+221E, \xe2\x88\x9e, INFINITY
U+221F, \xe2\x88\x9f, RIGHT ANGLE
U+2220, \xe2\x88\xa0, ANGLE
U+2221, \xe2\x88\xa1, MEASURED ANGLE
U+2222, \xe2\x88\xa2, SPHERICAL ANGLE
